fornecedor,total,porte,quantidade,percentual
14595725000184,1,ME,0,0.0
14595725000184,1,EPP,1,100.0
14595725000184,1,Demais Empresas,0,0.0
14595725000184,1,Não se aplica,0,0.0
14595725000184,1,Não informado,0,0.0
15069036000107,1,MEI,0,0.0
15069036000107,1,ME,1,100.0
15069036000107,1,EPP,0,0.0
15069036000107,1,Demais Empresas,0,0.0
15069036000107,1,Não se aplica,0,0.0
15069036000107,1,Não informado,0,0.0
21595464000168,1,MEI,0,0.0
21595464000168,1,ME,0,0.0
21595464000168,1,EPP,1,100.0
21595464000168,1,Demais Empresas,0,0.0
21595464000168,1,Não se aplica,0,0.0
21595464000168,1,Não informado,0,0.0
24334945000108,2,MEI,0,0.0
24334945000108,2,ME,0,0.0
24334945000108,2,EPP,0,0.0
24334945000108,2,Demais Empresas,2,100.0
24334945000108,2,Não se aplica,0,0.0
24334945000108,2,Não informado,0,0.0
26361026000159,1,MEI,0,0.0
26361026000159,1,ME,0,0.0
26361026000159,1,EPP,0,0.0
26361026000159,1,Demais Empresas,1,100.0
26361026000159,1,Não se aplica,0,0.0
26361026000159,1,Não informado,0,0.0
27461719000186,1,MEI,0,0.0
27461719000186,1,ME,0,0.0
27461719000186,1,EPP,0,0.0
27461719000186,1,Demais Empresas,0,0.0
27461719000186,1,Não se aplica,0,0.0
27461719000186,1,Não informado,1,100.0
28019850000150,1,MEI,0,0.0
28019850000150,1,ME,1,100.0
28019850000150,1,EPP,0,0.0
28019850000150,1,Demais Empresas,0,0.0
28019850000150,1,Não se aplica,0,0.0
28019850000150,1,Não informado,0,0.0
28975806000114,1,MEI,0,0.0
28975806000114,1,ME,0,0.0
28975806000114,1,EPP,1,100.0
28975806000114,1,Demais Empresas,0,0.0
28975806000114,1,Não se aplica,0,0.0
28975806000114,1,Não informado,0,0.0
28977328000181,1,MEI,0,0.0
28977328000181,1,ME,1,100.0
28977328000181,1,EPP,0,0.0
28977328000181,1,Demais Empresas,0,0.0
28977328000181,1,Não se aplica,0,0.0
28977328000181,1,Não informado,0,0.0
32593430000150,1,MEI,0,0.0
32593430000150,1,ME,1,100.0
32593430000150,1,EPP,0,0.0
32593430000150,1,Demais Empresas,0,0.0
32593430000150,1,Não se aplica,0,0.0
32593430000150,1,Não informado,0,0.0
32996276000168,1,MEI,0,0.0
32996276000168,1,ME,1,100.0
32996276000168,1,EPP,0,0.0
32996276000168,1,Demais Empresas,0,0.0
32996276000168,1,Não se aplica,0,0.0
32996276000168,1,Não informado,0,0.0
35061495000143,5,MEI,0,0.0
35061495000143,5,ME,5,100.0
35061495000143,5,EPP,0,0.0
35061495000143,5,Demais Empresas,0,0.0
35061495000143,5,Não se aplica,0,0.0
35061495000143,5,Não informado,0,0.0
35187278000102,5,MEI,0,0.0
35187278000102,5,ME,0,0.0
35187278000102,5,EPP,0,0.0
35187278000102,5,Demais Empresas,5,100.0
35187278000102,5,Não se aplica,0,0.0
35187278000102,5,Não informado,0,0.0
35250918000173,1,MEI,0,0.0
35250918000173,1,ME,1,100.0
35250918000173,1,EPP,0,0.0
35250918000173,1,Demais Empresas,0,0.0
35250918000173,1,Não se aplica,0,0.0
35250918000173,1,Não informado,0,0.0
38276354000136,1,MEI,0,0.0
38276354000136,1,ME,1,100.0
38276354000136,1,EPP,0,0.0
38276354000136,1,Demais Empresas,0,0.0
38276354000136,1,Não se aplica,0,0.0
38276354000136,1,Não informado,0,0.0
41016857000187,1,MEI,0,0.0
41016857000187,1,ME,1,100.0
41016857000187,1,EPP,0,0.0
41016857000187,1,Demais Empresas,0,0.0
41016857000187,1,Não se aplica,0,0.0
41016857000187,1,Não informado,0,0.0
41556663000174,2,MEI,0,0.0
41556663000174,2,ME,2,100.0
41556663000174,2,EPP,0,0.0
41556663000174,2,Demais Empresas,0,0.0
41556663000174,2,Não se aplica,0,0.0
41556663000174,2,Não informado,0,0.0
42852532000105,1,MEI,0,0.0
